NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sex,Age
NCT06558227,Study of ZG005 Combined With Bevacizumab Versus Sintilimab Combined With Bevacizumab in Advanced Hepatocellular Carcinoma,https://clinicaltrials.gov/study/NCT06558227,,NOT_YET_RECRUITING,"This study is a randomized, open-label, positive-controlled, multicenter phase II clinical trial. It evaluates the efficacy and safety of ZG005 combined with Bevacizumab compared to Sintilimab combined with Bevacizumab in first-line treatment for patients with advanced hepatocellular carcinoma.",NO,Hepatocellular Carcinoma,BIOLOGICAL: ZG005 for Injection|BIOLOGICAL: Bevacizumab|BIOLOGICAL: Sintilimab|BIOLOGICAL: Bevacizumab,"progression free survival，PFS, defined as the time from receiving treatment until disease progression or death from any cause, whichever happens first., through study completion, up to 2 year",,,ALL,"ADULT, OLDER_ADULT"
NCT06558214,"OPTIMUS PRIME: Safety and Feasibility of OPTune GIO® Integrated With MRI-gUided Laser Ablation Surgery and Pembrolizumab for Recurrent GlIoblastoMa, A randomizEd Trial",https://clinicaltrials.gov/study/NCT06558214,OPTIMUS PRIME,NOT_YET_RECRUITING,"In this study we are evaluating the safety and feasibility of the triple combination (TTFields, MLA, pembrolizumab) in adult patients diagnosed with recurrent or progressive glioblastoma (GBM) WHO Grade IV, IDH wild type or recurrent or progressive astrocytoma WHO grade IV.",NO,Recurrent Glioblastoma,DRUG: Pembrolizumab|DEVICE: Optune GIO®|DEVICE: NeuroBlate®,"Number of participants experiencing a DLT after receiving the triple combination (TTFields, MLA, pembrolizumab) in adult patients diagnosed with recurrent glioblastoma from both arms, Patients who receive the combinatorial regimen will get the ongoing safety assessment with DLT \</= 33% treated subjects, baseline up to 3 months|Percentage of participants treated with the triple combination (TTFields, MLA, pembrolizumab) in adult patients diagnosed with recurrent glioblastoma from both arms, Feasibility is defined as the ability to successfully deliver the combinatorial treatment of MLA, optune GIO® and pembrolizumab to at least 67% of enrolled subjects who undergo MLA., baseline up to 3 months",,,ALL,"ADULT, OLDER_ADULT"
NCT06558201,Open Label Extension Study of NCT06221852,https://clinicaltrials.gov/study/NCT06558201,,ENROLLING_BY_INVITATION,This is a 12-week open-label extension study for participants completing study NCT06221852.,NO,Bipolar I Disorder|Schizoaffective Disorder|Psychosis,OTHER: Ketogenic diet,"Change in brain redox nicotinamide adenine dinucleotide metabolites ratio (NAD+/NADH), Change from baseline to week 24 in NAD+/NADH as measured by in vivo phosphorus magnetic resonance spectroscopy (31P-MRS)., 24 weeks|Change in brain creatine kinase forward reaction rate (kf), Change from baseline to week 24 in creatine kinase forward reaction rate (kf) as measured by 31P magnetization transfer (MT) MRS., 24 weeks|Change in insulin resistance, Change from baseline to week 24 of insulin resistance measured using the homeostatic model assessment of insulin resistance (HOMA-IR) using fasting blood glucose and insulin levels., 24 weeks|Change in psychotic symptoms, Change from baseline to week 24 in Positive and Negative Syndrome Scale (PANSS) total score. Scores range from 30-210; a higher score indicates a higher level of psychotic symptoms., 24 weeks|Change in depressive symptoms, Change from baseline to week 24 in Hamilton Rating Scale for Depression (HAM-D) total score. Scores range from 0-52; a higher score indicates a higher level of depression., 24 weeks|Change in mania symptoms, Change from baseline to week 24 in Young Mania Rating Scale (YMRS) total score. Scores range from 0-60. A higher score indicates a more severe illness., 24 weeks|Change in Clinical Global Impression (CGI) Scale, Change from baseline to week 24 in Clinical Global Impression (CGI) Scale. Scores range from 1-7; a higher score indicates higher severity of illness., 24 weeks","Change in body weight, Change from baseline to week 24 in participant body weight in kilograms, as measured using a standing scale., 24 weeks|Change in glycated hemoglobin (Hemoglobin A1c) level, Change from baseline to week 24 in fasting Hemoglobin A1c level., 24 weeks|Change in triglyceride levels, Change from baseline to week 24 in fasting triglyceride levels., 24 weeks|Change in low-density lipoprotein (LDL) levels, Change from baseline to week 24 in fasting LDL levels, 24 weeks|Change in high-density lipoprotein (HDL) levels, Change from baseline to week 24 in fasting HDL levels, 24 weeks|Change in high-sensitivity C-reactive protein (hs-CRP) levels, Change from baseline to week 24 in fasting hs-CRP levels., 24 weeks|Change in brain gamma-aminobutyric acid (GABA) concentration, Change from baseline to week 24 in GABA concentration measured by proton magnetic resonance spectroscopy., 24 weeks|Change in brain glutamate metabolite concentration, Change from baseline to week 24 in glutamate metabolite concentration measured by proton magnetic resonance spectroscopy., 24 weeks|Change in brain glutathione (GSH), Change from baseline to week 24 in brain GSH measured by proton magnetic resonance spectroscopy., 24 weeks|Change in brain Phosphocreatine (PCr), Changes from baseline to week 24 in PCr concentration as measured by in vivo 31P-MRS., 24 weeks|Change in brain pH, Change from baseline to week 24 in pH as measured by in vivo 31P MRS, 24 weeks|Change in brain inorganic phosphate concentration, Change from baseline to week 24 in inorganic phosphate (Pi) concentration as measured by in vivo 31P MRS., 24 weeks|Change in adverse events, Change from baseline to week 24 in adverse events., 24 weeks|Change in anxiety symptoms, Change from baseline to week 24 from baseline to week 12 in Hamilton Anxiety Rating Scale (HAM-A) total score. Scores range from 0 - 56; a higher score indicates a higher level of anxiety., 24 weeks|Change in stress symptoms, Change from baseline to week 24 in Depression Anxiety Stress Scales (DASS-42) Stress Subscale score. Scores range from 0-42; a higher score indicates a higher level of stress., 24 weeks|Change in cognitive performance, Change from baseline to week 24 in Matrics Consensus Cognitive Battery (MCCB) Total Score. Scores range from 0.00% - 100.00%; a higher score indicates higher cognition., 24 weeks|Change in Global Functioning Scale (GFS) - Social and Role total score, Change from baseline to week 24 in Global Functioning Scale (GFS) - Social and Role total score. Scores range from 6-60; a lower score indicates worse social and role functioning., 24 weeks|Change in blood NAD/NADH+ ratio, Change from baseline to week 24 in blood NAD/NADH+ ratio., 24 weeks|Change in blood GSH/GSSH ratio, Change from baseline to week 24 in blood GSH/GSSH ratio., 24 weeks|Change in growth differentiation factor 15 (GDF15), Change from baseline to week 24 in blood and saliva GDF15 levels., 24 weeks|Change in cell-free mitochondrial DNA (cf-mtDNA), Change from baseline to week 24 in blood and saliva cf-mtDNA levels., 24 weeks","Change in World Health Organization Disability Assessment Schedule (WHODAS) score, Change from baseline to week 24 in World Health Organization Disability Assessment Schedule (WHODAS) scale. Scores range from 0-144. A higher score indicates greater dysfunction and disability in major life domains., 24 weeks|Change in World Health Organization Quality of Life (WHOQOL) score, Change from baseline to week 24 in World Health Organization Quality of Life (WHOQOL) scale. Scores range from 1-130. A lower score indicates lower perceived quality of life., 24 weeks|Change in Extrapyramidal Symptom Rating Scale (ESRS) total score, Change from baseline to week 24 in Extrapyramidal Symptom Rating Scale (ESRS) total score. Scores range from 0-102; a higher score indicates more severe symptoms., 24 weeks|Change in Pittsburgh Sleep Quality Index (PSQI) total score, Change from baseline to week 24 in Pittsburgh Sleep Quality Index (PSQI) total score. Scores range from 0-21; a higher score indicates worse sleep quality., 24 weeks|Change in resting-state fMRI, Change within network positive correlations and between network negative correlations from baseline to week 24., 24 weeks|Change in gray matter volume, Change in the gray matter volumes (cubic millimeters) of the frontal, parietal and temporal lobes as defined by Freesurfer's Desikan-Killiany Brain Atlas from baseline to week 24., 24 weeks|Change in cortical surface area, Change in the cortical surface area (millimeters squared) of the frontal, parietal and temporal lobes as defined by Freesurfer's Desikan-Killiany Brain Atlas from baseline to week 24., 24 weeks|Change in white matter fractional anisotropy (FA), Change in fractional anisotropy (FA), a scalar measure of diffusivity, of water in the brain assessed by DTI at 3T from baseline to week 24. FA values range from 0 (isotropic, meaning diffusion is equally restricted in 3D space) to 1 (anisotrophic, meaning that diffusion is completely restricted to a single direction)., 24 weeks",ALL,ADULT
NCT06558188,Combined Anabolic Therapy,https://clinicaltrials.gov/study/NCT06558188,CAT,NOT_YET_RECRUITING,In this research study we want to learn more about the effect of two different FDA-approved medication regimens in the treatment of postmenopausal osteoporosis.,NO,"Osteoporosis, Postmenopausal|Osteoporosis",DRUG: Romosozumab|DRUG: Teriparatide,"Lumbar spine areal bone mineral density, Change in lumbar spine bone density between month 0 and month 12, Month 0 to 12",,,FEMALE,"ADULT, OLDER_ADULT"
NCT06558175,Reirradiation Dose Escalation in Thoracic Cancers,https://clinicaltrials.gov/study/NCT06558175,REPAIR,NOT_YET_RECRUITING,"This is a study involving patients with recurrence, metastasis, or new primary malignancies in the thorax requiring radiation and who have previously received radiotherapy to the thorax, where re-irradiation is expected to exceed the dose constraints used for de novo treatments.

Currently, when this group of patients needs another set of radiotherapy, there is a dose limitation based on a percentage of the previous treatment's dose. However, this dose often limits the effectiveness of repeated treatment, with little scientific support for such. Therefore, this study aims to determine the maximally tolerated dose of reirradiation in the thorax, with dose escalation implemented by sequentially increasing the normal tissue recovery factors (i.e. repair factors) to the previously delivered dose.

Using a recovery factor equation associated with a 35% or lower rate of grade 3-5 treatment-related toxicity occurring within 1 year of treatment, accrual will start at level 1 (recovery factor = 10% at 6 months + 0.75% per month thereafter). Patients will be assigned to recovery factors using the TITE-CRM model. The model will use all available information from previously accrued patients to assign the highest dose with a predicted risk of grade 3-5 toxicity of 35% or less.",NO,Thoracic Cancer|Lung Cancer|Esophageal Cancer,RADIATION: stereotactic body radiation therapy (SBRT),"Maximally tolerated dose (MTD), MTD of radiotherapy for thoracic tumors. The MTD is the dose of radiotherapy associated with a \<35% rate of grade 3-5 toxicity occurring within 1 year of treatment., occurring within 1 year of treatment","Time to progression, Progression of treated disease, 1-5 years|Time to distant metastases, Time to distant metastases, 1-5 years|Progression-Free Survival, Progression-Free Survival, 1-5 years|Overall survival, Overall survival, 1-5 years|Patient reported outcome, Functional Assessment of Cancer Therapy: Lung (FACT-L), Before treatment and at 3, 6, 9, 12, 18, 24, 36, 48, and 60 months|Quality of Life - EuroQol 5-dimension 5-level, EuroQol 5-dimension 5-level, Before treatment and at 3, 6, 9, 12, 18, 24, 36, 48, and 60 months",,ALL,"ADULT, OLDER_ADULT"
NCT06558162,The Effect of Two Different Self-Assessment Methods for Fetal Movement Monitoring on Maternal Psychosocial Status,https://clinicaltrials.gov/study/NCT06558162,,RECRUITING,"Antenatal care is essential for a successful delivery, a healthy baby and a happy mother. The main aim of antenatal care is to take appropriate interventions to assess, protect and improve maternal and fetal health during pregnancy. There are many methods to assess fetal health during pregnancy, such as ultrasonography (USG) and non stress test (NST). Along with these methods, maternal perception and counting of fetal movements is the only method that can be easily used by the mother without the need for clinicians or equipment. When a pregnant woman begins to feel fetal movements, it is one of the first signs of fetal life and is considered an indicator of fetal well-being. Decrease or absence of fetal movements has been stated to be an important parameter in the assessment of fetal health and may be associated with the risk of intrauterine fetal death. Therefore, feeling and counting of fetal movements is the basis for the assessment of fetal health.",NO,Fetal Movement|Mental Health Issue,BEHAVIORAL: Mindfetalness|BEHAVIORAL: Sadovsky,"Attachment, Prenatal Maternal Attachment Scale, Pretest, Follow-up after two weeks, Follow-up after four weeks|Stress, Perceived Stress Scale-10, Pretest, Follow-up after two weeks, Follow-up after four weeks|Anxiety, State-Trait Anxiety Inventory, Pretest, Follow-up after two weeks, Follow-up after four weeks","Risk perception, Risk Perception in Pregnancy Scale, Pretest, Follow-up after two weeks, Follow-up after four weeks",,FEMALE,"CHILD, ADULT, OLDER_ADULT"
NCT06558149,The Effect of Nociception Level (NOL) Monitoring on Intraoperative Opioid Consumption in Hip Surgeries,https://clinicaltrials.gov/study/NCT06558149,,NOT_YET_RECRUITING,"Hip surgeries are one of the most painful surgical operations, and inadequate pain management increases postoperative morbidity and mortality.The incidence of chronic pain after hip surgery is quite high, at 11-40%.For this reason, hip surgeries are complex and specialized surgeries in terms of pain management.Pain management should be provided with multimodal analgesia techniques.Regional anesthesia techniques also constitute an important step of multimodal analgesia.According to the surgical procedures pioneered by the European Society of Regional Anesthesia, Pericapsular nerve block (PENG) block is among the recommendations with a high level of evidence for hip surgery in the multimodal analgesia steps guide.In the literature, there are studies comparing the postoperative analgesic effectiveness of PENG block in hip surgeries, but the results are contradictory.In addition, intraoperative pain monitoring was not used in these studies, instead intraoperative analgesia management was provided according to hemodynamic parameters, which may not be objective.Opioid infusion is used in analgesia management during the intraoperative period.While not providing effective analgesia due to insufficient opioid use will have effects, excessive opioid use also has many side effects.Therefore, it would not be correct to administer the same dose of opioid infusion to every patient. As seen in the data in the literature and in daily practice, hemodynamic parameters (such as heart rate, blood pressure) are used for pain monitoring of the patient under general anesthesia, and these parameters may change depending on many other factors.Although some devices that aim to provide pain monitoring by evaluating the effects of pain on the sympathetic system are available on the market, their usage areas have remained limited since their reliability has not been fully demonstrated. Nociception level index (NoL) monitoring provides effective monitoring as it evaluates each patient separately using different parameters (heart rate, heart rate variability, photo-plethysmographic waveform amplitude, skin conductance level, number of skin conductance fluctuations and their time derivatives).Although there are studies indicating that it can be used for operations under general anesthesia, it has not yet been used routinely.Ledowski et al. and Renoud-Roy et al. (8) have shown that NoL index monitoring under general anesthesia is successful in detecting painful stimuli.In a study conducted by Espitalier et al. in 2021 in patients undergoing gynecological surgery, NoL index monitoring reduced intraoperative opioid consumption by 22% without affecting postoperative pain scores.While planning this study, we aimed to use NoL monitoring in hip surgery, where postoperative pain management is quite challenging and important, as it provides objective and personalized pain management in patients under general anesthesia.In this study, we aimed to see the effectiveness of opioid consumption and Peng block by using the NoL index and hemodynamic parameters.When other studies in the literature are examined, the effects of regional techniques have been compared only in the postoperative period.Its effects in the intraoperative period have not been evaluated on a patient basis, and the opioid infusion rate has been adjusted with hemodynamic findings, which are affected by many parameters such as bleeding and drug use.In this study, we aim to compare the effects of intraoperative pain monitoring and personalized analgesia treatment and the regional technique both in the intraoperative period and in the postoperative period.",NO,Post Operative Pain|Opioid Use,PROCEDURE: Those whose opioids were adjusted according to hemodynamic parameters|PROCEDURE: Those whose opioids were adjusted according to NOL monitoring,"Remifentanil consumption, Total amount of remifentanil used during the surgery (mg), Intraoperative|NRS Scores, Numeric Rating Scale scores, between 0-10 (0= no pain, 10=worst pain imaginable), Postoperative 1st, 6th, 12th and 24th hours|Morphine consumption, Amount of morphine in the postoperative period (mg), Postoperative 1st, 6th, 12th and 24th hours","Rescue analgesic, The use of rescue analgesic, Postoperative 1st, 6th, 12th and 24th hours|Nausea and vomiting, If the patient had nausea or vomiting, it will be recorded., Postoperative 1st, 6th, 12th and 24th hours",,ALL,"ADULT, OLDER_ADULT"
NCT06558136,Evaluation of Salivary Biomarker Levels in Individuals with Different Periodontal Conditions,https://clinicaltrials.gov/study/NCT06558136,,RECRUITING,"In order to determine the pathogenesis of chronic inflammatory diseases, the levels of various cytokines are examined in tissues and fluids taken from the body. Recent publications have investigated the role of Interleukin-6 (IL-6), Interleukin-8 (IL-8) and LIGHT in chronic inflammatory diseases. The aim of this study was to evaluate the levels of these cytokines in the saliva of healthy individuals with gingivitis and periodontitis and to investigate whether they are reliable biomarkers for the diagnosis of periodontitis.

In our study, all oral clinical parameters of 60 systemically healthy individuals (20 healthy, 20 with gingivitis and 20 with periodontitis) who were admitted to our clinic for routine periodontal control will be measured and saliva samples will be taken from the patients. IL-6, IL-8 and LIGHT (biomarkers emphasizing inflammation in saliva samples) will be determined by enzyme-linked immunoassay (ELISA). Then, statistical analyses will be performed to interpret the difference in cytokine levels between the groups and the relationship between these cytokines and clinical parameters.

Possible significant differences between cytokine levels will reveal that these proteins and enzymes can be utilized as a diagnostic tool in periodontal diseases, to distinguish periodontal disease status from healthy, or as a guide for treatments.",NO,Periodontitis|Gingivitis|Periodontal Health,,"Salivary LIGHT level, Total amount of LIGHT protein in saliva, 24 hours after taking the clinical measurements at the first visit|Salivary IL-6 level, total amount of interleukin-6 in saliva, 24 hours after taking the clinical measurements at the first visit|Salivary IL-8 level, Total amount of interleukin-8 in saliva, 24 hours after taking the clinical measurements at the first visit","Periodontal Probing Depth, With the help of a periodontal probe, the distance between the gingival margin and the sulcus/pocket base will be measured from six points of the tooth: mesiobuccal, midbuccal, distobuccal, mesiopalatinal/lingual, mid buccal/palatinal and distobuccal/palatinal. During the measurement, care will be taken to ensure that the probe is parallel to the long axis of the tooth and that excessive force is not applied. The values will be summed and divided by 6 to calculate the average SCD for each patient., during the the initial visit|Clinical Attachment Level, With the help of a periodontal probe, the distance between the enamel-cement border and the sulcus/pocket base will be measured at six points of the tooth: mesiobuccal, midbuccal, distobuccal, mesiopalatinal/lingual, mid buccal/palatinal and distobuccal/palatinal. The values will be summed and divided by 6 to calculate the average amount of clinical attachment level for each patient., during the the initial visit|Plaque Index, For Silness\&Löe plaque index measurement, values will be obtained from four surfaces of each tooth: mesial, distal, vestibular and palatinal. The values will be summed and divided by four to determine the PI score for each tooth. Scoring will be done as follows; 0: No bacterial plaque on the gingival area of the tooth surface.

1. No bacterial plaque is visible on the surface of the tooth by eye, but after probing, bacterial plaque is observed at the tip of the probe.
2. The gingival area is covered with a thin to moderate amount of bacterial plaque, which is visible by eye.
3. There is a large amount of soft debris, the thickness of which completely fills the gingival groove and the interdental space is filled with soft debris., during the the initial visit|Gingival Index, According to Löe\&Silness gingival index; vestibule, lingual, mesial and distal surfaces of all teeth will be examined. The values will be summed and divided by four to determine the GI score for each tooth.

0: Healthy gingiva.

1. Mild inflammation, mild discoloration and edema but no bleeding after probing.
2. Moderate inflammation, edema, redness and brightness, bleeding on probing.
3. Severe inflammation and redness, edema, ulceration and tendency to spontaneous bleeding., during the the initial visit|Bleeding on probing, The following index criteria will be used to determine the degree of inflammation in the soft tissue surrounding the vestibular, lingual, mesial and distal surfaces of all teeth. The number of positive (+) scoring areas on the examined surfaces will be calculated as a percentage of the total number of examined areas.

(-): No bleeding when the periodontal probe is passed along the gingival sulcus. (+): Bleeding is present at the gingival margin., during the the initial visit",,ALL,"ADULT, OLDER_ADULT"
NCT06558123,Deep Parasternal Intercostal Plane (DPIP) Block,https://clinicaltrials.gov/study/NCT06558123,,NOT_YET_RECRUITING,"In this study, we aimed to compare the effects of this block, which is routinely applied in our hospital but has not been studied in our hospital or in the literature before, on the pain in the first 24 hours after the operation, between the single-level and the two-level block.",NO,Postoperative Pain,PROCEDURE: block,"numeric rating scale, 24 hours pain, 4 month",,,ALL,"ADULT, OLDER_ADULT"
NCT06558110,Examining the Effect of Internet Use on Exercise Attitudes and Sleep Quality of University Students,https://clinicaltrials.gov/study/NCT06558110,,NOT_YET_RECRUITING,The internet is one of the most critical elements of our age that is rapidly developing and changing. Situations such as the increase in the use of developing and widespread technological products and the addiction of social media application algorithms can negatively affect the health and success of students. Internet addiction among university students can have negative effects on general health parameters and academic success of students. This study will be conducted to determine the effect of internet use on exercise attitudes and sleep quality of foundation university health sciences faculty students. The study is planned to be conducted in the 2024-2025 fall semester and to include at least 1000 students.,NO,Internet Addiction,,"Internet Addiction Scale, The Internet Addiction Scale, which has been adapted to Turkish, will be used. The Internet addiction scale is a 5-point Likert-type scale consisting of 19 items (1= Not Appropriate at All, 2= Somewhat Appropriate, 3= Appropriate, 4= Quite Appropriate, 5= Completely Appropriate). The ceiling score that can be obtained from this scale is 95, and the base score is 19. High scores obtained from the scale indicate that individuals have high levels of internet addiction. According to the reliability analyses of the scale, the internal consistency coefficients of the factors were 0.90 for loss of control, 0.88 for excessive desire to stay online, and 0.92 for negativity in social relationships, and the internal consistency coefficient for the overall scale was determined as 0.85., Baseline","Pittsburgh Sleep Quality Index, The Pittsburgh Sleep Quality Index (PSQI) used to evaluate students' sleep quality is a self-report scale that evaluates sleep quality and sleep disturbance in the last month. It has been shown to have sufficient internal consistency, test-retest reliability and validity. The validity and reliability of the index has been conducted in Turkey and it has been determined that it is suitable for the Turkish society. Cronbach α internal consistency coefficient was determined as 0.80. 18 items are included in the scoring in the evaluation of the PSQI. The PSQI has 7 components: subjective sleep quality, sleep latency, sleep duration, habitual sleep efficiency, sleep disturbance-conditions affecting sleep, use of sleep-inducing drugs/substances and daytime dysfunction/sleepiness. Total score between 0-4 indicates good sleep quality, and between 5-21 indicates poor sleep quality., Baseline|International Physical Activity Questionnaire-Short Form, The International Physical Activity Questionnaire-Short Form was developed to determine the physical activity levels of participants between the ages of 15-65. Validity and reliability studies were conducted in Turkey and test-retest reliability was reported as 0.69. In the evaluation of all activities, the criterion is that each activity is performed for at least 10 minutes at a time. Scoring is done based on the Metabolic Equivalent of Task (MET) value. A score is obtained as ""METminutes/week"" by multiplying minutes, days and MET values. The physical activity levels of the participants will be classified as physically inactive (\<600 MET-min/week), low physical activity level (600-3000 METmin/week) and sufficient physical activity level (beneficial for health) (\>3000 METmin/week)., Baseline|Exercise Benefits/Barriers Scale, The Exercise Benefits/Barriers Scale, is designed to determine people's perceptions of benefits and barriers of exercise. The higher the total score on the scale, the more they perceive the benefits of exercise. The validity and reliability of the scale in Turkey was conducted and the Cronbach alpha coefficient was determined as 0.95. The scale is in Likert format (1: strongly disagree, 2: disagree, 3: agree, 4: strongly agree) and consists of 43 questions in total., Baseline",,ALL,ADULT
NCT06558097,"Safety, Tolerability, and Pharmacokinetics of XXB750 in Healthy Participants",https://clinicaltrials.gov/study/NCT06558097,,COMPLETED,"This study was a randomized, participant and investigator-blinded, placebo-controlled, single-ascending dose study, consisting of 9 sequential dose cohorts (1 mg, 3 mg, 10 mg, 30 mg, 60 mg, 120 mg, 240 mg, 450 mg and 600 mg) and a Japanese ethnic sensitivity cohort (240 mg dose)",NO,XXB750 in Healthy Participants,DRUG: XXB750|OTHER: Placebo,"Number of participants with Adverse Events, To evaluate the safety and tolerability of single ascending SC doses of XXB750 in healthy participants.

Adverse events may include abnormal vital signs, safety laboratory tests, physical exam tests and ECG parameters that include clinical signs or symptoms, are considered clinically significant or require therapy., Up to 121 days","Pharmacokinetics parameters: Tmax, To evaluate the pharmacokinetics: Time to maximum concentation (Tmax) of XXB750 in healthy participants following a single SC dose of XXB750., Up to 91 days|Pharmacokinetics parameters: Cmax, To evaluate the pharmacokinetics: Peak plasma concentration (Cmax) of XXB750 in healthy participants following a single SC dose of XXB750., Up to 91 days|Pharmacokinetics parameters: AUClast, To evaluate the pharmacokinetics: Area under the plasma concentration curve (AUClast) of XXB750 in healthy participants following a single SC dose of XXB750., Up to 91 days|Pharmacokinetics parameters: AUCinf, To evaluate the pharmacokinetics: Area under the curve (AUCinf) of XXB750 in healthy participants following a single SC dose of XXB750., Up to 91 days|Pharmacokinetics parameters: T1/2, To evaluate the pharmacokinetics: Half-life (T1/2) of XXB750 in healthy participants following a single SC dose of XXB750., Up to 91 days|Pharmacokinetics parameters: Vz/F, To evaluate the pharmacokinetics: Vd/F of XXB750 in healthy participants following a single SC dose of XXB750., Up to 91 days|Pharmacokinetics parameters: CL/F, To evaluate the pharmacokinetics: Apparent clearance (CL/F) of XXB750 in healthy participants following a single SC dose of XXB750., Up to 91 days",,ALL,ADULT
NCT06558084,Real-World Clinical Outcomes and Toxicity in Metastatic Breast Cancer Patients Treated With First or Second Line CDK 4/6 Inhibitors and Endocrine Therapy,https://clinicaltrials.gov/study/NCT06558084,,COMPLETED,To assess CDK4/6i toxicity and effect on PFS in the Egyptian population,NO,"Toxicity, Drug|Progression, Disease",DRUG: CDK4/6 Inhibitor,"Adverse effect, assess the toxicity profile, 2 years","PFS, PFS in patient receiving CDK4/6i in Egypt, 2 years",,FEMALE,"ADULT, OLDER_ADULT"
NCT06558071,Supplementation of Galatonol 300 mg / Striatin 30 mg in Postpartum Lactating Mothers,https://clinicaltrials.gov/study/NCT06558071,,NOT_YET_RECRUITING,"This is a randomized, double-blind and placebo-controlled study involving mothers and their babies evaluating the effect of a 15-day-supplementation with a product containing extracts derived from a combination of herbal plants (katuk \& torbangun leaves) and snakehead fish in stimulating breast milk production.",NO,Lactation Induced,DRUG: Galatonol 300 mg/Striatin 30 mg|DRUG: Placebo,"Infant weight, The sufficient breastmilk supply indicated by infant weight at Day 15 of treatment (i.e. 14 days after study treatment initation) relative to Baseline (infant weight at 24 Hour post-partum)., Day 15","Infant weight, Infant weight at Day 8 of treatment (i.e. 7 days after study treatment initation) relative to Baseline., Day 8|Breastmilk production, Breastmilk production at Day 8 and Day 15 of treatment (i.e. 7, and 14 days after study treatment initiation) as represented by three-hourly breast milk volume., Day 8, Day 15|Breastfeeding frequency, Mean breastfeeding frequency per 24 hours up to Day 8 and Day 15 of treatment (i.e. 7 and 14 days after study treatment initiation, respectively), Day 8, Day 15|Prolactin level, Maternal prolactin level at Day 8 and 15 of treatment, Day 8, Day 15|Oxytocin level, Maternal oxytocin level at Day 8 and 15 of treatment, Day 8, Day 15|Frequency of infant void and stool, Mean daily frequency of infant void and stool up to Day 8 and 15 of treatment, Day 8, Day 15","Infant's daily duration of sleeping, Infant's daily duration of sleeping will be evaluated as exploratory endpoint at Day 8 and 15 of treatment., Day 8, Day 15|Qualitative self-assessment of breast-milk thicknes, Qualitative self-assessment of breast-milk thickness will be evaluated as exploratory endpoint at Day 8 and 15 of treatment., Day 8, Day 15|Body temperature, Body temperature measurement as a vital sign safety parameter., Day 8, Day 15|Blood pressure, Blood pressure will be measured as a vital sign safety parameter., Day 8, Day 15|Heart rate and respiratory rate, Heart rate and respiratory rate will be measured as a vital sign safety parameter., Day 8, Day 15|Random plasma glucose, Random plasma glucose will be measured as a safety parameter., Day 8, Day 15|Liver function, Liver function measurements include: serum alanine aminotransferase \[ALT\] and serum aspartate aminotransferase \[AST\]., Day 15|Renal function, Renal function measurements include: serum creatinine, Day 15|Complete blood count, Complete blood count measurements include: hemoglobin, hematocrit, red blood cell \[RBC\], white blood cell \[WBC\], differentiation of WBC, erythrocyte sedimentation rate \[ESR\], platelet count, Day 15|Adverse events, Tolerability to the study product will be assessed through the evaluation of adverse events along the study period., Day 3, Day 8, Day 15",FEMALE,ADULT
NCT06558058,Bioequivalence Study of Rivaroxaban 10 mg Film-coated Tablets,https://clinicaltrials.gov/study/NCT06558058,,COMPLETED,"This study was an open-label, randomized, single-dose, two-period, two-sequence, two-way crossover study under fasting conditions which included 28 healthy adult male and female subjects. The objective of this study was to compare whether the bioavailability of PT Dexa Medica's formulation of rivaroxaban 10 mg film-coated tablet is equivalent to that of the comparator drug (Xarelto® 10 mg Film-Coated Tablet, manufactured by Bayer AG, Germany, imported by PT Bayer Indonesia, Indonesia) when administered under fasting condition in healthy subjects.",NO,Healthy,DRUG: Rivaroxaban 10 mg film-coated tablet|DRUG: Xarelto 10 mg film-coated tablet,"AUC(0-t), Area under the plasma concentration-time curve to the last observer quantifiable concentration at time t, 36 hours|Cmax, Maximum plasma concentration, 36 hours","AUC(0-inf), Area under the plasma concentration-time curve extrapolated to infinitive time, 36 hours|T1/2, Plasma half-life, 36 hours|Tmax, Time taken to reach maximum observed plasma concentration, 36 hours",,ALL,ADULT
NCT06558045,Bioequivalence Study of Rivaroxaban 20 mg Film-coated Tablets,https://clinicaltrials.gov/study/NCT06558045,,COMPLETED,"This study was an open-label, randomized, single-dose, two-period, two-sequence, two-way crossover study under fed conditions which included 28 healthy adult male and female subjects. The objective of this study was to compare whether the bioavailability of PT Dexa Medica's formulation of rivaroxaban 20 mg film-coated tablet is equivalent to that of the comparator drug (Xarelto® 20 mg Film-Coated Tablet, manufactured by Bayer AG, Germany, imported by PT Bayer Indonesia, Indonesia) when administered under fed condition in healthy subjects.",NO,Healthy,DRUG: Rivaroxaban 20 mg film-coated tablet|DRUG: Xarelto 20 mg film-coated tablet,"AUC(0-t), Area under the plasma concentration-time curve to the last observer quantifiable concentration at time t, 36 hours|Cmax, Maximum plasma concentration, 36 hours","AUC(0-inf), Area under the plasma concentration-time curve extrapolated to infinitive time, 36 hours|T1/2, Plasma half-life, 36 hours|Tmax, Time taken to reach maximum observed plasma concentration, 36 hours",,ALL,ADULT
